payload_id,type,reused,mass_lb,nationality,cap_serial,manufacturers
FalconSAT-2,Satellite,False,43.0,United States,NA,NA
DemoSAT,Satellite,False,,United States,NA,NA
Trailblazer,Satellite,False,,United States,NA,NA
PRESat,Satellite,False,,United States,NA,NA
RatSat,Satellite,False,363.0,United States,NA,NA
RazakSAT,Satellite,False,440.0,Malaysia,NA,NA
Dragon Qualification Unit,Dragon Boilerplate,False,,United States,NA,NA
COTS Demo Flight 1,Dragon 1.0,False,,United States,C101,NA
Cubesats,Satellite,False,,NA,NA,NA
COTS Demo Flight 2,Dragon 1.0,False,1157.0,United States,C102,NA
CRS-1,Dragon 1.0,False,881.0,United States,C103,NA
Orbcomm-OG2,Dragon 1.0,False,881.0,NA,NA,NA
CRS-2,Dragon 1.0,False,1492.0,United States,C104,NA
CASSIOPE,Satellite,False,1100.0,Canada,NA,NA
SES-8,Satellite,False,6990.0,Luxembourg,NA,NA
Thaicom 6,Satellite,False,7330.0,Thailand,NA,NA
CRS-3,Dragon 1.1,False,5062.0,United States,C105,NA
Orbcomm-OG2-M1,Satellite,False,2901.0,United States,NA,NA
AsiaSat 8,Satellite,False,9998.0,Hong Kong,NA,NA
AsiaSat 6,Satellite,False,9762.0,Hong Kong,NA,NA
CRS-4,Dragon 1.1,False,4885.0,United States,C106,NA
CRS-5,Dragon 1.1,False,5280.0,United States,C107,NA
DSCOVR,Satellite,False,1260.0,United States,NA,NA
ABS-3A,Satellite,False,4307.0,Hong Kong,NA,NA
Eutelsat 115 West B,Satellite,False,4861.0,France,NA,NA
CRS-6,Dragon 1.1,False,4184.0,United States,C108,NA
TürkmenÄlem 52°E / MonacoSAT,Satellite,False,10377.0,Turkmenistan,NA,NA
CRS-7,Dragon 1.1,False,5460.9,United States,C109,NA
Orbcomm-OG2-M2,Satellite,False,4484.0,United States,NA,NA
Jason-3,Satellite,False,1219.0,United States,NA,NA
SES-9,Satellite,False,11621.0,Luxembourg,NA,NA
CRS-8,Dragon 1.1,False,6914.0,United States,C110,NA
JCSAT-2B,Satellite,False,10353.0,Japan,NA,NA
Thaicom 8,Satellite,False,6800.0,Thailand,NA,NA
